CIK,trustName,prospectusDate,formType,dateFiled,accessionNumber,loanID,assetTypeNumber,assetNumber,GroupID,reportingPeriodBeginningDate,reportingPeriodEndDate,originatorName,originationDate,originalLoanAmount,originalTermLoanNumber,maturityDate,originalAmortizationTermNumber,originalInterestRatePercentage,interestRateSecuritizationPercentage,interestAccrualMethodCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,firstLoanPaymentDueDate,underwritingIndicator,lienPositionSecuritizationCode,loanStructureCode,paymentTypeCode,periodicPrincipalAndInterestPaymentSecuritizationAmount,scheduledPrincipalBalanceSecuritizationAmount,paymentFrequencyCode,NumberPropertiesSecuritization,NumberProperties,graceDaysAllowedNumber,interestOnlyIndicator,balloonIndicator,prepaymentPremiumIndicator,negativeAmortizationIndicator,modifiedIndicator,armIndexCode,firstRateAdjustmentDate,firstPaymentAdjustmentDate,armMarginNumber,lifetimeRateCapPercentage,lifetimeRateFloorPercentage,periodicRateIncreaseLimitPercentage,periodicRateDecreaseLimitPercentage,periodicPaymentAdjustmentMaximumAmount,periodicPaymentAdjustmentMaximumPercent,rateResetFrequencyCode,paymentResetFrequencyCode,indexLookbackDaysNumber,prepaymentLockOutEndDate,yieldMaintenanceEndDate,prepaymentPremiumsEndDate,maximumNegativeAmortizationAllowedPercentage,maximumNegativeAmortizationAllowedAmount,negativeAmortizationDeferredInterestCapAmount,deferredInterestCumulativeAmount,deferredInterestCollectedAmount,assetAddedIndicator,reportPeriodModificationIndicator,reportPeriodBeginningScheduleLoanBalanceAmount,totalScheduledPrincipalInterestDueAmount,reportPeriodInterestRatePercentage,servicerTrusteeFeeRatePercentage,scheduledInterestAmount,otherInterestAdjustmentAmount,scheduledPrincipalAmount,unscheduledPrincipalCollectedAmount,otherPrincipalAdjustmentAmount,reportPeriodEndActualBalanceAmount,reportPeriodEndScheduledLoanBalanceAmount,paidThroughDate,hyperAmortizingDate,servicingAdvanceMethodCode,nonRecoverabilityIndicator,totalPrincipalInterestAdvancedOutstandingAmount,totalTaxesInsuranceAdvancesOutstandingAmount,otherExpensesAdvancedOutstandingAmount,paymentStatusLoanCode,armIndexRatePercentage,nextInterestRatePercentage,nextInterestRateChangeAdjustmentDate,nextPaymentAdjustmentDate,primaryServicerName,mostRecentSpecialServicerTransferDate,mostRecentMasterServicerReturnDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,demandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,realizedLossToTrustAmount,liquidationPrepaymentCode,liquidationPrepaymentDate,prepaymentPremiumYieldMaintenanceReceivedAmount,workoutStrategyCode,lastModificationDate,modificationCode,postModificationInterestPercentage,postModificationPaymentAmount,postModificationMaturityDate,postModificationAmortizationPeriodAmount
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-03-28,0001056404-18-002000,0001695154-1,Prospectus Loan ID,1,1,2018-02-13,2018-03-12,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,261302.22,0.041995,0.01015,261302.22,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-03-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-05-01,0001056404-18-002789,0001695154-1,Prospectus Loan ID,1,1,2018-03-13,2018-04-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-04-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-05-31,0001056404-18-003553,0001695154-1,Prospectus Loan ID,1,1,2018-04-12,2018-05-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-05-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-06-29,0001056404-18-004293,0001695154-1,Prospectus Loan ID,1,1,2018-05-12,2018-06-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-06-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-08-01,0001056404-18-005251,0001695154-1,Prospectus Loan ID,1,1,2018-06-12,2018-07-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-07-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-08-30,0001056404-18-005812,0001695154-1,Prospectus Loan ID,1,1,2018-07-12,2018-08-13,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-08-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-10-01,0001056404-18-006622,0001695154-1,Prospectus Loan ID,1,1,2018-08-14,2018-09-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-09-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-10-30,0001056404-18-007328,0001695154-1,Prospectus Loan ID,1,1,2018-09-12,2018-10-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-10-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-12-04,0001056404-18-008283,0001695154-1,Prospectus Loan ID,1,1,2018-10-12,2018-11-13,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-11-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2019-01-02,0001056404-19-000065,0001695154-1,Prospectus Loan ID,1,1,2018-11-14,2018-12-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-12-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,,,,,,,,
